Problem,Exact GS,Optimizer,Trials,Best mean,Best std,Best SEM,Final mean,Final std,NEFV,Depth
Frustrated Ising N=4,-1.549051,QLTO V3 QPE (k=4),5,-1.354126,0.029413,0.013154,-1.350492,0.032826,180,286
Frustrated Ising N=4,-1.549051,QLTO V3 (Hadamard),5,-1.229586,0.096453,0.043135,-1.201328,0.085896,180,149
Frustrated Ising N=4,-1.549051,QLTO V2 (engine-grad),5,-1.360270,0.056887,0.025441,-1.346502,0.064897,720,419
Frustrated Ising N=4,-1.549051,QAOA (p=3),5,-0.842467,0.224266,0.100295,-0.825879,0.226159,400,43
Frustrated Ising N=4,-1.549051,Correct QNG,5,-0.950828,0.149486,0.066852,-0.950828,0.149486,720,0
Frustrated Ising N=4,-1.549051,AdamW,5,-1.336088,0.042690,0.019091,-1.322853,0.045342,640,0
Frustrated Ising N=4,-1.549051,SPSA,5,-0.707388,0.252469,0.112908,-0.706777,0.252727,200,0
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 QPE (k=4),5,0.007569,0.004937,0.002208,0.017454,0.023262,180,136
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 (Hadamard),5,0.222823,0.299194,0.133803,0.255876,0.288893,180,136
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V2 (engine-grad),5,0.033676,0.068772,0.030756,0.086438,0.097442,640,389
MaxCut N=4 (Opt=4.0),-0.000000,QAOA (p=3),5,0.614698,0.180768,0.080842,0.634325,0.186995,400,22
MaxCut N=4 (Opt=4.0),-0.000000,Correct QNG,5,0.765249,0.374693,0.167568,0.765249,0.374693,720,0
MaxCut N=4 (Opt=4.0),-0.000000,AdamW,5,0.067151,0.039000,0.017442,0.075938,0.030402,640,0
MaxCut N=4 (Opt=4.0),-0.000000,SPSA,5,1.116188,0.371785,0.166267,1.132509,0.373602,200,0
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V3 QPE (k=4),5,0.271484,0.515696,0.230626,0.279478,0.511798,180,490
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V3 (Hadamard),5,1.126433,1.627413,0.727801,1.229173,1.639906,180,224
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V2 (engine-grad),5,0.508710,0.733233,0.327912,0.554959,0.807915,880,626
MaxCut N=6 (Opt=12.0),-0.000000,QAOA (p=3),5,6.945788,0.319217,0.142758,6.967508,0.322265,400,67
MaxCut N=6 (Opt=12.0),-0.000000,Correct QNG,5,0.427739,0.466567,0.208655,0.427739,0.466567,1040,0
MaxCut N=6 (Opt=12.0),-0.000000,AdamW,5,0.658162,0.494863,0.221309,0.699705,0.464220,960,0
MaxCut N=6 (Opt=12.0),-0.000000,SPSA,5,2.637394,1.690824,0.756160,2.638028,1.690588,200,0
H2 Molecule,-1.857275,QLTO V3 QPE (k=4),5,-1.816725,0.019225,0.008598,-1.737852,0.051866,180,162
H2 Molecule,-1.857275,QLTO V3 (Hadamard),5,-1.838434,0.020420,0.009132,-1.824731,0.016770,180,77
H2 Molecule,-1.857275,QLTO V2 (engine-grad),5,-1.858909,0.011252,0.005032,-1.753590,0.075169,440,212
H2 Molecule,-1.857275,QAOA (p=3),5,-1.854651,0.002901,0.001297,-1.828546,0.023985,400,16
H2 Molecule,-1.857275,Correct QNG,5,-1.613691,0.204100,0.091276,-1.613691,0.204100,400,0
H2 Molecule,-1.857275,AdamW,5,-1.846026,0.013222,0.005913,-1.824498,0.012866,320,0
H2 Molecule,-1.857275,SPSA,5,-1.532851,0.213648,0.095546,-1.511865,0.211783,200,0
LiH Molecule,-8.949737,QLTO V3 QPE (k=4),5,-8.852305,0.071965,0.032184,-8.852305,0.071965,180,629
LiH Molecule,-8.949737,QLTO V3 (Hadamard),5,-8.821189,0.095368,0.042650,-8.819635,0.094335,180,170
LiH Molecule,-8.949737,QLTO V2 (engine-grad),5,-8.863482,0.055223,0.024696,-8.861131,0.051404,720,451
LiH Molecule,-8.949737,QAOA (p=3),5,-8.605040,0.181932,0.081363,-8.581360,0.184401,400,46
LiH Molecule,-8.949737,Correct QNG,5,-8.138423,0.337766,0.151054,-8.138212,0.337809,720,0
LiH Molecule,-8.949737,AdamW,5,-8.784999,0.124364,0.055617,-8.784999,0.124364,640,0
LiH Molecule,-8.949737,SPSA,5,-8.026845,0.288359,0.128958,-8.019781,0.286166,200,0
Heisenberg N=4,-6.464102,QLTO V3 QPE (k=4),5,-6.023050,0.036571,0.016355,-6.015827,0.035843,180,484
Heisenberg N=4,-6.464102,QLTO V3 (Hadamard),5,-5.895660,0.055219,0.024695,-5.868693,0.058395,180,164
Heisenberg N=4,-6.464102,QLTO V2 (engine-grad),5,-6.043741,0.042105,0.018830,-6.041701,0.043397,720,436
Heisenberg N=4,-6.464102,QAOA (p=3),5,-4.722101,0.846605,0.378613,-4.712573,0.847508,400,25
Heisenberg N=4,-6.464102,Correct QNG,5,-5.578726,0.580808,0.259745,-5.578726,0.580808,720,0
Heisenberg N=4,-6.464102,AdamW,5,-5.719985,0.116955,0.052304,-5.708851,0.107187,640,0
Heisenberg N=4,-6.464102,SPSA,5,-4.903204,0.901448,0.403140,-4.896133,0.903549,200,0
Heisenberg N=6,-9.974309,QLTO V3 QPE (k=4),5,-9.015423,0.087649,0.039198,-8.997884,0.097249,180,772
Heisenberg N=6,-9.974309,QLTO V3 (Hadamard),5,-8.501401,0.533924,0.238778,-8.400840,0.647801,180,248
Heisenberg N=6,-9.974309,QLTO V2 (engine-grad),5,-9.092968,0.066062,0.029544,-9.092615,0.066661,1000,658
Heisenberg N=6,-9.974309,QAOA (p=3),5,-4.229619,0.970163,0.433870,-4.207346,0.977095,400,31
Heisenberg N=6,-9.974309,Correct QNG,5,-8.687110,0.610441,0.272998,-8.687110,0.610441,1040,0
